date,temp_max_c,temp_min_c,precipitation_mm,windspeed_max_kmh,temp_max_c_outlier,temp_min_c_outlier,precipitation_mm_outlier,windspeed_max_kmh_outlier
2026-05-01,23.0,16.0,10.8,8.1,False,False,True,False
2026-05-02,23.2,16.1,5.3,11.0,False,False,True,False
2026-05-03,23.9,14.4,2.3,12.2,False,False,True,False
2026-05-04,23.8,15.0,2.3,9.4,False,False,True,False
2026-05-05,23.8,16.4,1.8,10.4,False,False,False,False
2026-05-06,24.8,16.4,2.5,8.8,False,False,True,False
2026-05-07,24.3,16.1,1.2,9.4,False,False,False,False
2026-05-08,25.0,16.6,1.7,9.5,False,False,False,False
2026-05-09,23.5,16.6,8.4,9.3,False,False,True,False
2026-05-10,23.8,15.3,0.7,11.9,False,False,False,False
2026-05-11,24.8,15.1,1.1,13.6,False,False,False,False
2026-05-12,23.2,16.2,2.4,12.8,False,False,True,False
2026-05-13,23.9,16.4,8.0,10.5,False,False,True,False
2026-05-14,24.1,16.2,0.9,9.0,False,False,False,False
2026-05-15,23.3,16.0,0.7,9.8,False,False,False,False
2026-05-16,24.4,16.0,1.7,13.1,False,False,False,False
2026-05-17,23.4,15.4,1.6,9.3,False,False,False,False
2026-05-18,23.7,15.7,0.7,9.5,False,False,False,False
2026-05-19,24.4,14.3,0.0,10.0,False,False,False,False
2026-05-20,24.5,14.6,0.0,9.3,False,False,False,False
2026-05-21,24.8,16.0,0.7,9.4,False,False,False,False
2026-05-22,25.9,15.0,0.5,11.5,False,False,False,False
2026-05-23,25.7,16.5,0.6,14.8,False,False,False,False
2026-05-24,25.3,15.1,0.2,14.1,False,False,False,False
2026-05-25,24.4,15.7,0.6,8.9,False,False,False,False
2026-05-26,24.6,15.1,0.3,13.3,False,False,False,False
2026-05-27,23.2,15.8,0.4,11.9,False,False,False,False
2026-05-28,24.1,15.6,0.5,7.5,False,False,False,False
2026-05-29,23.5,14.5,0.9,5.8,False,False,False,False
2026-05-30,23.3,16.3,3.5,10.5,False,False,True,False
2026-05-31,23.6,16.1,2.9,13.4,False,False,True,False
2026-06-01,22.1,15.8,6.7,10.2,False,False,True,False
2026-06-02,23.0,15.9,5.0,11.0,False,False,True,False
2026-06-03,22.2,15.4,0.8,8.7,False,False,False,False
2026-06-04,24.0,15.6,2.3,12.1,False,False,True,False
2026-06-05,25.0,13.3,0.1,12.9,False,False,False,False
2026-06-06,26.5,15.5,0.2,15.2,False,False,False,False
2026-06-07,26.0,15.2,0.2,15.7,False,False,False,False
2026-06-08,25.8,14.6,0.5,18.8,False,False,False,True
2026-06-09,25.9,13.6,0.0,16.9,False,False,False,False
2026-06-10,24.9,14.9,0.3,17.6,False,False,False,False
2026-06-11,24.6,15.2,0.1,11.7,False,False,False,False
2026-06-12,25.8,15.6,1.5,16.2,False,False,False,False
2026-06-13,22.7,15.6,2.1,10.3,False,False,False,False
2026-06-14,22.3,13.8,0.3,10.3,False,False,False,False
2026-06-15,24.4,13.0,0.1,14.0,False,False,False,False
2026-06-16,24.1,10.6,0.2,11.4,False,False,False,False
2026-06-17,21.7,12.5,1.4,10.8,False,False,False,False
2026-06-18,23.6,14.0,1.2,9.4,False,False,False,False
2026-06-19,24.2,14.4,0.5,11.5,False,False,False,False
2026-06-20,23.0,14.7,0.9,10.7,False,False,False,False
2026-06-21,22.7,14.6,0.6,11.8,False,False,False,False
2026-06-22,21.3,13.3,0.2,9.7,False,False,False,False
2026-06-23,22.6,12.3,0.0,9.9,False,False,False,False
2026-06-24,22.3,13.0,1.2,9.7,False,False,False,False
2026-06-25,23.9,13.4,2.4,11.5,False,False,True,False
2026-06-26,24.7,13.0,0.6,9.6,False,False,False,False
2026-06-27,24.9,12.1,0.2,13.2,False,False,False,False
2026-06-28,24.4,12.3,0.0,12.2,False,False,False,False
2026-06-29,23.4,12.4,0.1,12.5,False,False,False,False
2026-06-30,22.6,14.7,0.9,13.1,False,False,False,False
2026-07-01,23.0,14.3,0.1,12.2,False,False,False,False
2026-07-02,25.2,11.6,0.1,9.1,False,False,False,False
2026-07-03,25.8,12.6,0.1,14.3,False,False,False,False
2026-07-04,24.1,13.6,0.2,17.7,False,False,False,False
2026-07-05,21.5,14.2,0.0,10.7,False,False,False,False
2026-07-06,24.7,13.0,0.0,17.9,False,False,False,False
2026-07-07,23.3,11.6,0.1,13.4,False,False,False,False
2026-07-08,24.8,13.8,0.2,13.2,False,False,False,False
2026-07-09,24.7,14.2,0.0,14.7,False,False,False,False
2026-07-10,23.6,14.2,0.7,12.4,False,False,False,False
2026-07-11,21.7,15.7,2.8,12.2,False,False,True,False
2026-07-12,23.5,13.3,0.2,14.6,False,False,False,False
2026-07-13,24.9,12.7,0.0,13.5,False,False,False,False
2026-07-14,25.0,12.3,0.0,15.9,False,False,False,False
2026-07-15,25.2,14.3,0.1,9.8,False,False,False,False
2026-07-16,26.4,13.2,0.3,10.6,False,False,False,False
2026-07-17,24.4,12.8,0.0,12.9,False,False,False,False
2026-07-18,25.3,13.0,0.6,9.4,False,False,False,False
2026-07-19,26.3,12.7,0.0,14.8,False,False,False,False
2026-07-20,24.6,12.8,0.1,13.1,False,False,False,False
2026-07-21,25.9,13.1,0.4,13.8,False,False,False,False
2026-07-22,24.2,12.8,0.1,13.1,False,False,False,False
2026-07-23,24.3,13.0,0.2,10.6,False,False,False,False
2026-07-24,24.9,13.7,0.2,10.7,False,False,False,False
2026-07-25,23.4,13.6,0.3,15.5,False,False,False,False
2026-07-26,21.6,12.9,0.4,12.8,False,False,False,False
2026-07-27,22.1,13.9,0.4,12.0,False,False,False,False
2026-07-28,22.2,12.0,0.0,14.1,False,False,False,False
2026-07-29,24.3,13.2,0.0,11.2,False,False,False,False
2026-07-30,24.8,12.6,0.3,13.0,False,False,False,False
2026-07-31,25.3,13.0,0.6,12.1,False,False,False,False
